id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,etl_load_timestamp
bitcoin,btc,Bitcoin,62844.0,1260599784224,1,26977369104,65469.0,62559.0,-2.08834,2026-06-23T07:46:00.240Z,2026-06-23 07:46:41.307027
ethereum,eth,Ethereum,1686.44,203640483473,2,12008963813,1773.96,1683.78,-3.44143,2026-06-23T07:46:00.447Z,2026-06-23 07:46:41.307027
tether,usdt,Tether,0.998797,186127282663,3,46980518230,0.999031,0.998717,0.008,2026-06-23T07:46:00.127Z,2026-06-23 07:46:41.307027
binancecoin,bnb,BNB,580.7,78295079889,4,629510499,601.17,577.92,-2.15103,2026-06-23T07:46:00.131Z,2026-06-23 07:46:41.307027
usd-coin,usdc,USDC,0.999719,74378110041,5,11365108809,0.999923,0.999543,0.00141,2026-06-23T07:46:00.725Z,2026-06-23 07:46:41.307027
ripple,xrp,XRP,1.11,69096525804,6,1459486711,1.16,1.11,-2.04194,2026-06-23T07:46:00.080Z,2026-06-23 07:46:41.307027
solana,sol,Solana,70.17,40747193586,7,2513618318,74.86,69.85,-5.32435,2026-06-23T07:45:59.958Z,2026-06-23 07:46:41.307027
tron,trx,TRON,0.331412,31432514568,8,604134577,0.333822,0.329561,0.51026,2026-06-23T07:45:45.642Z,2026-06-23 07:46:41.307027
figure-heloc,figr_heloc,Figure Heloc,1.035,19695502837,9,15487745,1.035,1.02,1.47636,2026-06-23T06:01:50.292Z,2026-06-23 07:46:41.307027
hyperliquid,hype,Hyperliquid,64.05,14254069007,10,646958941,69.32,63.93,-4.82304,2026-06-23T07:45:51.685Z,2026-06-23 07:46:41.307027
